name,url,irt
Enterprise Leadership Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-java-beans-new/,no
Enterprise Leadership Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report-2-0/,no
Entry Level Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-solution/,no
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,no
Entry Level Customer Service (General) Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-general-solution/,no
Entry Level Hotel Front Desk Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-hotel-front-desk-solution/,no
Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,no
Entry Level Technical Support Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-technical-support-solution/,no
ETL Testing (New),https://www.shl.com/solutions/products/product-catalog/view/etl-testing-new/,no
Executive Scenarios,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios/,no
Executive Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-narrative-report/,no
Executive Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-profile-report/,no
ExpressJS (New),https://www.shl.com/solutions/products/product-catalog/view/expressjs-new/,no
Filing - Names (R1),https://www.shl.com/solutions/products/product-catalog/view/filing-names-r1/,no
Filing - Numbers,https://www.shl.com/solutions/products/product-catalog/view/filing-numbers/,no
Financial Accounting (New),https://www.shl.com/solutions/products/product-catalog/view/financial-accounting-new/,no
Financial and Banking Services (New),https://www.shl.com/solutions/products/product-catalog/view/financial-and-banking-services-new/,no
Fire Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/fire-engineering-new/,no
Following Instructions v1 - UK (R1),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-uk-r1/,no
Following Instructions v1 - US (R2),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-us-r2/,no
Food and Beverage Services (New),https://www.shl.com/solutions/products/product-catalog/view/food-and-beverage-services-new/,no
Food Science (New),https://www.shl.com/solutions/products/product-catalog/view/food-science-new/,no
Front Office Management (New),https://www.shl.com/solutions/products/product-catalog/view/front-office-management-new/,no
Fundamentals of Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-chemistry-new/,no
Fundamentals of Physics (New),https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-physics-new/,no
General Diseases (New),https://www.shl.com/solutions/products/product-catalog/view/general-diseases-new/,no
Geoinformatics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoinformatics-engineering-new/,no
Geoscience Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoscience-engineering-new/,no
GIT (New),https://www.shl.com/solutions/products/product-catalog/view/git-new/,no
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,no
Graduate Scenarios,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios/,no
Graduate Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-narrative-report/,no
Graduate Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-profile-report/,no
Hibernate (New),https://www.shl.com/solutions/products/product-catalog/view/hibernate-new/,no
HIPAA (Security),https://www.shl.com/solutions/products/product-catalog/view/hipaa-security/,yes
HiPo Assessment Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,no
HiPo Assessment Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,no
HiPo Unlocking Potential Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,no
Housekeeping (New),https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new/,no
HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,no
HTML5 (New),https://www.shl.com/solutions/products/product-catalog/view/html5-new/,no
Human Resources (New),https://www.shl.com/solutions/products/product-catalog/view/human-resources-new/,no
IBM DataStage (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/,no
IBM Sterling Order Management System (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/,no
Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/industrial-engineering-new/,no
Informatica (Architecture) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-architecture-new/,no
Informatica (Developer) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-developer-new/,no
Instrumentation Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/instrumentation-engineering-new/,no
Interpersonal Communications,https://www.shl.com/solutions/products/product-catalog/view/interpersonal-communications/,yes
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/solutions/products/product-catalog/view/interpersonal-communications/,yes
iOS Development (New),https://www.shl.com/solutions/products/product-catalog/view/ios-development-new/,no
ITIL (IT Infrastructure Library) (New),https://www.shl.com/solutions/products/product-catalog/view/itil-it-infrastructure-library-new/,no
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/solutions/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,yes
Java 8 (New),https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,no
Java Design Patterns (New),https://www.shl.com/solutions/products/product-catalog/view/java-design-patterns-new/,no
Java Frameworks (New),https://www.shl.com/solutions/products/product-catalog/view/java-frameworks-new/,no
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/solutions/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,yes
Java Web Services (New),https://www.shl.com/solutions/products/product-catalog/view/java-web-services-new/,no
JavaScript (New),https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,no
Jenkins (New),https://www.shl.com/solutions/products/product-catalog/view/jenkins-new/,no
Job Control Language (New),https://www.shl.com/solutions/products/product-catalog/view/job-control-language-new/,no
jQuery (New),https://www.shl.com/solutions/products/product-catalog/view/jquery-new/,no
Kubernetes (New),https://www.shl.com/solutions/products/product-catalog/view/kubernetes-new/,no
Linux Administration (New),https://www.shl.com/solutions/products/product-catalog/view/linux-administration-new/,no
Linux Operating System,https://www.shl.com/solutions/products/product-catalog/view/linux-operating-system/,no
Linux Programming (General),https://www.shl.com/solutions/products/product-catalog/view/linux-programming-general/,yes
Load Runner (New),https://www.shl.com/solutions/products/product-catalog/view/load-runner-new/,no
Management Scenarios,https://www.shl.com/solutions/products/product-catalog/view/management-scenarios/,no
Managerial Scenarios Candidate Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-candidate-report/,no
Managerial Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-narrative-report/,no
Managerial Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-profile-report/,no
Manual Testing (New),https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,no
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/solutions/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,no
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/solutions/products/product-catalog/view/safety-and-dependability-focus-8-0/,no
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/essential-focus-8-0/,no
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/mechanical-focus-8-0/,no
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/vigilance-focus-8-0/,no
Marketing (New),https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,no
Maven (New),https://www.shl.com/solutions/products/product-catalog/view/maven-new/,no
Mechanical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mechanical-engineering-new/,no
Mechatronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mechatronics-engineering-new/,no
Medical Terminology (New),https://www.shl.com/solutions/products/product-catalog/view/medical-terminology-new/,no
Metallurgical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/metallurgical-engineering-new/,no
MFS 360 Enterprise Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-enterprise-leadership-report/,no
MFS 360 UCF Group Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-group-report/,no
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,no
MFS 360 UCF Standard Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-standard-report/,no
Micro Focus Unified Functional Testing (New),https://www.shl.com/solutions/products/product-catalog/view/micro-focus-unified-functional-testing-new/,no
